extraction_status,extraction_date_lysis,extraction_date_purification,date_recieved,institution,catalog_num,genus_species,prep_num,sample_date,lat,long,state,county,locality,sex,link,total_sample_mass(mg),extracted_mass(mg),concentration,260/280,260/230,extraction_notes
1,2025-09-16,2025-09-17,2025-06-23,UWBM,70853,Aphelocoma woodhouseii,JMB 1756,1996-07-26,40.98,-109.09,UT,Daggett,"Vernal, 36 mi N, 23 mi E; Beaver Creek",M,,0.014,0.014,90.7,2.114,2.17,Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-23,UWBM,70860,Aphelocoma woodhouseii,JMB 1763,1996-07-27,40.98,-109.09,UT,Daggett,"Vernal, 36 mi N, 23 mi E; Beaver Creek",M,,0.017,0.017,42.4,2.063,1.416,Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-23,UWBM,71453,Aphelocoma woodhouseii,RYA 86,1999-03-17,40.85,-111.91,UT,Davis,North Salt Lake,F,,0.023,0.023,82.15,1.975,2.26,Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-03,2025-09-04,2025-06-24,MLZ,68843,Aphelocoma californica oocleptica x Aphelocoma californica nevadae,B-499,2015-10-12,39.05579,-119.56963,NV,Douglas,"Pine Nut Mountains, Sunrise Pass Road",F,https://arctos.database.museum/search.cfm?collection_object_id=25913944,U,0.02,283.8,2.028,2.315,Eluted with 100 uL H2O
1,2025-09-03,2025-09-04,2025-06-24,MLZ,68844,Aphelocoma californica oocleptica x Aphelocoma californica nevadae,B-441,2015-10-12,39.05579,-119.56963,NV,Douglas,"Pine Nut Mountains, Sunrise Pass Road",F,https://arctos.database.museum/search.cfm?collection_object_id=25913947,U,0.025,415.65,1.995,2.338,Eluted with 100 uL H2O
1,2025-09-16,2025-09-17,2025-06-24,MLZ,68995,Aphelocoma californica obscura,B-479,2015-05-01,34.366979,-119.307019,CA,Ventura,"Blue Hill Farm, 8625 N Ventura Avenue",M,https://arctos.database.museum/search.cfm?collection_object_id=25920221,0.085,0.024,139.05,1.955,2.118,Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70033,Aphelocoma californica,B-508,2015-10-12,39.05229,-119.60278,NV,Douglas,"Pine Nut Mountains, Sunrise Pass Road, Lebo Springs",M,https://arctos.database.museum/search.cfm?collection_object_id=30492907,U,0.025,136.2,1.99,2.155,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70041,Aphelocoma californica,B-512,2015-10-12,39.05229,-119.60278,NV,Douglas,"Sunrise Pass Road, Lebo Spring, Pine Nut Mountains",F,https://arctos.database.museum/search.cfm?collection_object_id=30492840,U,0.019,209.6,1.944,2.273,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70042,Aphelocoma californica,B-507,2015-10-12,39.05229,-119.60278,NV,Douglas,"Sunrise Pass Road, Lebo Spring, Pine Nut Mountains",M,https://arctos.database.museum/search.cfm?collection_object_id=30492916,U,0.022,133.95,1.945,2.212,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70043,Aphelocoma californica,B-477,2015-10-12,39.05229,-119.60278,NV,Douglas,"Sunrise Pass Road, Lebo Spring, Pine Nut Mountains",M,https://arctos.database.museum/search.cfm?collection_object_id=30492852,U,0.023,99.3,1.945,2.192,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70125,Aphelocoma californica,B-850,2014-09-18,31.8394,-110.7228,AZ,Pima,U,U,https://arctos.database.museum/search.cfm?collection_object_id=30814587,U,0.018,363,2.013,2.317,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70142,Aphelocoma californica,B-452,2015-10-12,39.05229,-119.60278,NV,Douglas,U,F,https://arctos.database.museum/search.cfm?collection_object_id=30833796,U,0.019,108.3,1.894,2.17,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-16,2025-09-17,2025-06-24,MLZ,70247,Aphelocoma californica,B-806,2018-06-28,34.124218,-118.217205,CA,Los Angeles,"1523 Tonawanda Ave, Los Angeles, CA 90041",F,https://arctos.database.museum/search.cfm?collection_object_id=31986512,U,0.02,95.15,1.894,1.982,Extra Tissue Remains. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively
1,2025-09-25,2025-09-26,2025-09-25,MVZ,177567,Aphelocoma californica californica,,1996-10-19,37.86556667,-122.1520167,CA,Contra Costa,"7 Evans Place, Orinda",M,,0.015,0.015,417.45,1.932,2.083,
1,2025-09-25,2025-09-26,2025-09-25,MVZ,177580,Aphelocoma californica californica,,1997-12-26,37.86556667,-122.1520167,CA,Contra Costa,"7 Evans Place, Orinda",M,,0.015,0.015,385.5,1.917,1.992,
1,2025-09-25,2025-09-26,2025-09-25,MVZ,177581,Aphelocoma californica californica,,1997-12-26,37.86556667,-122.1520167,CA,Contra Costa,"7 Evans Place, Orinda",F,,0.012,0.012,684.85,1.92,2.334,
1,2025-09-25,2025-09-26,2025-09-25,MVZ,177584,Aphelocoma californica californica,,1997-04-12,37.85991667,-122.1344667,CA,Contra Costa,"1904 Ascot Drive, Moraga",M,,U,U,376.6,1.951,2.125,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,179097,Aphelocoma californica californica,,1997-07-30,37.8602377,-122.1234613,CA,Contra Costa,"300 Rheem Blvd., between Glorietta Blvd. and Moraga Rd.",M,,U,U,952.45,1.95,2.298,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,178454,Aphelocoma californica californica,,1998-01-17,37.85991667,-122.1344667,CA,Contra Costa,"1904 Ascot Drive, Moraga",F,,U,U,437.55,1.923,2.283,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,178459,Aphelocoma californica californica,,1998-09-26,37.85991667,-122.1344667,CA,Contra Costa,"1904 Ascot Drive, Moraga",M,,U,U,302.75,1.949,2.064,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,179571,Aphelocoma californica californica,,1999-07-29,37.87883,-122.25832,CA,Alameda,"2591 Hilgard Ave., Berkeley",M,,U,U,829.15,1.942,2.303,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,194932,Aphelocoma californica obscura,,2017-10-05,33.9624,-116.23842,CA,,"Stubbe Spring, Joshua Tree National Park",M,,U,U,1216.6,1.658,1.818,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193497,Aphelocoma californica californica,,2021-10-11,40.85298,-122.41966,CA,Shasta,"Lakeshore Drive at Shasta Lake, ca. 0.3 mi S and 1.1 mi W Sugarloaf",F,,U,U,288.05,1.96,2.307,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193679,Aphelocoma californica californica,,2021-04-27,36.35791,-120.85292,CA,,"Hi Mountain Rd., Los Padres National Forest",M,,U,U,343.6,1.954,2.177,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193682,Aphelocoma californica californica,,2021-04-30,35.25716,-120.3927,CA,Santa Barbara,"West Camino Cielo Rd., Santa Ynez Mts.",M,,U,U,139.15,2.085,2.141,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193742,Aphelocoma californica californica,,2022-10-11,34.53521,-120.05684,CA,Shasta,"Waters Gulch Trail above Packer's Bay, Shasta Lake",M,,U,U,348.15,1.959,2.132,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,195718,Aphelocoma californica californica,,2022-05-22,40.78204,-122.33664,CA,Santa Clara,"W of Seasonal Cabins, Blue Oak Ranch Reserve",M,,U,U,372.35,1.953,2.25,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,195719,Aphelocoma californica californica,,2022-05-21,37.38153,-121.74176,CA,Santa Clara,Blue Oak Ranch Reserve,F,,U,U,281.75,1.963,2.25,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,195824,Aphelocoma californica californica,,2023-03-31,37.38884,-121.74815,CA,Santa Clara,Blue Oak Ranch Reserve,M,,U,U,233.05,1.969,2.22,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,195825,Aphelocoma californica californica,,2023-03-31,37.37822,-121.72994,CA,Santa Clara,Blue Oak Ranch Reserve,M,,U,U,301.7,1.918,1.969,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,195826,Aphelocoma californica californica,,2023-03-31,37.38916,-121.74998,CA,Santa Clara,Blue Oak Ranch Reserve,M,,U,U,275,1.957,1.999,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,194938,Aphelocoma californica obscura,,2017-09-13,37.38056,-121.74188,CA,,"Black Rock Spring, Joshua Tree National Park",F,,U,U,376.9,1.92,2.214,Did not weigh. All MVZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193675,Aphelocoma californica californica,,2021-04-26,36.36119,-120.85934,CA,San Benito,Lorenzo Vasque Canyon along Coalinga Rd.,M,,U,U,927.8,1.945,2.218,Did not weigh. All MLZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
1,2025-09-25,2025-09-26,2025-09-25,MVZ,193723,Aphelocoma californica californica,,2021-05-18,40.89254,-123.62128,CA,,"Friday Ridge Rd., Six Rivers National Forest",F,,U,U,468.3,1.94,2.272,Did not weigh. All MLZ samples appear to have masses between 0.010-0.015 g. All of sample used. Two elutions performed. Spectrophotometry data is from elution A. 100 uL of H20 and 50 uL H20 used for elutions A and B respectively.
